time,id,from,at,to,open,close,low,high,volume
2025-10-14 07:58:00,2971996,1760428680,1760428740000000000,1760428740,0.90773,0.90772,0.907665,0.907815,340
2025-10-14 07:59:00,2971997,1760428740,1760428800000000000,1760428800,0.90771,0.90775,0.907685,0.90783,348
2025-10-14 08:00:00,2971998,1760428800,1760428860000000000,1760428860,0.90774,0.907935,0.90768,0.90796,475
2025-10-14 08:01:00,2971999,1760428860,1760428920010869087,1760428920,0.90794,0.90797,0.90789,0.908145,383
2025-10-14 08:02:00,2972000,1760428920,1760428980000000000,1760428980,0.90798,0.90811,0.9079,0.9082,427
2025-10-14 08:03:00,2972001,1760428980,1760429040000000000,1760429040,0.9081,0.90802,0.908005,0.90819,279
2025-10-14 08:04:00,2972002,1760429040,1760429100000000000,1760429100,0.908015,0.90796,0.90786,0.908055,314
2025-10-14 08:05:00,2972003,1760429100,1760429160000000000,1760429160,0.907955,0.90802,0.90794,0.90812,304
2025-10-14 08:06:00,2972004,1760429160,1760429220000000000,1760429220,0.908005,0.90793,0.9079,0.90806,247
2025-10-14 08:07:00,2972005,1760429220,1760429280000000000,1760429280,0.90793,0.90808,0.90792,0.908135,287
2025-10-14 08:08:00,2972006,1760429280,1760429340000000000,1760429340,0.90807,0.908175,0.908055,0.908185,197
2025-10-14 08:09:00,2972007,1760429340,1760429400000000000,1760429400,0.90818,0.90818,0.908085,0.908185,253
2025-10-14 08:10:00,2972008,1760429400,1760429460000000000,1760429460,0.90818,0.908095,0.908055,0.9082,198
2025-10-14 08:11:00,2972009,1760429460,1760429520000000000,1760429520,0.90809,0.90824,0.90807,0.90827,203
2025-10-14 08:12:00,2972010,1760429520,1760429580000000000,1760429580,0.908225,0.90822,0.90813,0.90827,228
2025-10-14 08:13:00,2972011,1760429580,1760429640000000000,1760429640,0.90822,0.908295,0.908215,0.90835,255
2025-10-14 08:14:00,2972012,1760429640,1760429700000000000,1760429700,0.9083,0.90812,0.90797,0.90834,254
2025-10-14 08:15:00,2972013,1760429700,1760429760000000000,1760429760,0.90813,0.908,0.90796,0.90823,137
2025-10-14 08:16:00,2972014,1760429760,1760429820000000000,1760429820,0.90801,0.907975,0.90794,0.90806,144
2025-10-14 08:17:00,2972015,1760429820,1760429880000000000,1760429880,0.90798,0.908095,0.907865,0.908095,172
2025-10-14 08:18:00,2972016,1760429880,1760429940000000000,1760429940,0.90809,0.90813,0.90807,0.90816,124
2025-10-14 08:19:00,2972017,1760429940,1760430000000000000,1760430000,0.908125,0.90808,0.908075,0.90815,163
2025-10-14 08:20:00,2972018,1760430000,1760430060000000000,1760430060,0.908085,0.90821,0.90808,0.90822,128
2025-10-14 08:21:00,2972019,1760430060,1760430120000000000,1760430120,0.908215,0.908185,0.90815,0.90823,167
2025-10-14 08:22:00,2972020,1760430120,1760430180000000000,1760430180,0.908175,0.90822,0.908175,0.908285,164
2025-10-14 08:23:00,2972021,1760430180,1760430240000000000,1760430240,0.908205,0.9083,0.908165,0.90832,172
2025-10-14 08:24:00,2972022,1760430240,1760430300000000000,1760430300,0.90831,0.908235,0.90822,0.90837,140
2025-10-14 08:25:00,2972023,1760430300,1760430360000000000,1760430360,0.90824,0.90833,0.908155,0.908335,161
2025-10-14 08:26:00,2972024,1760430360,1760430420000000000,1760430420,0.90833,0.90848,0.90828,0.90848,195
2025-10-14 08:27:00,2972025,1760430420,1760430480000000000,1760430480,0.908465,0.90852,0.908435,0.90852,139
2025-10-14 08:28:00,2972026,1760430480,1760430540000000000,1760430540,0.908515,0.9084,0.908375,0.90853,224
2025-10-14 08:29:00,2972027,1760430540,1760430600000000000,1760430600,0.908395,0.9085,0.908385,0.9085,238
2025-10-14 08:30:00,2972028,1760430600,1760430660000000000,1760430660,0.908495,0.908685,0.908485,0.908705,236
2025-10-14 08:31:00,2972029,1760430660,1760430720000000000,1760430720,0.90869,0.90874,0.90866,0.90877,194
2025-10-14 08:32:00,2972030,1760430720,1760430780000000000,1760430780,0.908725,0.90874,0.908645,0.908755,212
2025-10-14 08:33:00,2972031,1760430780,1760430840000000000,1760430840,0.908735,0.90864,0.90861,0.90877,205
2025-10-14 08:34:00,2972032,1760430840,1760430900000000000,1760430900,0.908635,0.90878,0.90863,0.908785,184
2025-10-14 08:35:00,2972033,1760430900,1760430960000000000,1760430960,0.908785,0.9088,0.90868,0.90881,208
2025-10-14 08:36:00,2972034,1760430960,1760431020000000000,1760431020,0.90879,0.90871,0.90864,0.90881,140
2025-10-14 08:37:00,2972035,1760431020,1760431080000000000,1760431080,0.908705,0.90864,0.908565,0.908705,194
2025-10-14 08:38:00,2972036,1760431080,1760431140000000000,1760431140,0.908645,0.908625,0.90859,0.90871,208
2025-10-14 08:39:00,2972037,1760431140,1760431200000000000,1760431200,0.90862,0.90857,0.908525,0.90863,162
2025-10-14 08:40:00,2972038,1760431200,1760431260000000000,1760431260,0.908575,0.90848,0.908375,0.908615,231
2025-10-14 08:41:00,2972039,1760431260,1760431320000000000,1760431320,0.908475,0.9084,0.90833,0.90849,238
2025-10-14 08:42:00,2972040,1760431320,1760431380000000000,1760431380,0.908395,0.908315,0.908275,0.908395,146
2025-10-14 08:43:00,2972041,1760431380,1760431440000000000,1760431440,0.908315,0.908215,0.908205,0.90836,139
2025-10-14 08:44:00,2972042,1760431440,1760431500000000000,1760431500,0.908215,0.90826,0.90815,0.908275,172
2025-10-14 08:45:00,2972043,1760431500,1760431560008454820,1760431560,0.908245,0.908325,0.908195,0.90837,215
2025-10-14 08:46:00,2972044,1760431560,1760431620000000000,1760431620,0.90834,0.90834,0.908265,0.90839,196
2025-10-14 08:47:00,2972045,1760431620,1760431680000000000,1760431680,0.908335,0.908185,0.90815,0.90835,177
2025-10-14 08:48:00,2972046,1760431680,1760431740000000000,1760431740,0.90819,0.907965,0.907955,0.90819,191
2025-10-14 08:49:00,2972047,1760431740,1760431800000000000,1760431800,0.90798,0.907775,0.90777,0.90798,169
2025-10-14 08:50:00,2972048,1760431800,1760431860000000000,1760431860,0.9078,0.90801,0.907775,0.90802,167
2025-10-14 08:51:00,2972049,1760431860,1760431920000000000,1760431920,0.908005,0.90807,0.907955,0.908105,180
2025-10-14 08:52:00,2972050,1760431920,1760431980000000000,1760431980,0.908065,0.90809,0.90806,0.908195,128
2025-10-14 08:53:00,2972051,1760431980,1760432040000000000,1760432040,0.90809,0.908045,0.907985,0.90814,234
2025-10-14 08:54:00,2972052,1760432040,1760432100000000000,1760432100,0.908045,0.90796,0.907925,0.90805,147
2025-10-14 08:55:00,2972053,1760432100,1760432160000000000,1760432160,0.90797,0.90793,0.907905,0.90802,165
2025-10-14 08:56:00,2972054,1760432160,1760432220000000000,1760432220,0.907935,0.90793,0.907915,0.90799,103
2025-10-14 08:57:00,2972055,1760432220,1760432280000000000,1760432280,0.90793,0.907915,0.907875,0.90794,107
2025-10-14 08:58:00,2972056,1760432280,1760432340000000000,1760432340,0.907915,0.907915,0.907895,0.90794,59
2025-10-14 08:59:00,2972057,1760432340,1760432400000000000,1760432400,0.90792,0.90787,0.90784,0.90792,114
2025-10-14 09:00:00,2972058,1760432400,1760432460000000000,1760432460,0.907865,0.907755,0.90772,0.907865,220
2025-10-14 09:01:00,2972059,1760432460,1760432520000000000,1760432520,0.907745,0.90781,0.907705,0.90783,68
2025-10-14 09:02:00,2972060,1760432520,1760432580000000000,1760432580,0.907805,0.907795,0.907665,0.90781,106
2025-10-14 09:03:00,2972061,1760432580,1760432640000000000,1760432640,0.90781,0.907795,0.907705,0.90785,218
2025-10-14 09:04:00,2972062,1760432640,1760432700000000000,1760432700,0.90779,0.907765,0.90766,0.90781,191
2025-10-14 09:05:00,2972063,1760432700,1760432760000000000,1760432760,0.90776,0.90766,0.907635,0.907775,182
2025-10-14 09:06:00,2972064,1760432760,1760432820000000000,1760432820,0.90765,0.90761,0.907595,0.90769,105
